,time,variable_type,value
126,1250.8638625144958,Total_costs,49287.0
127,1250.8638625144958,MH_Cost,43200.0
128,1250.8638625144958,Repair_Cost,6087.0
129,1253.2584283351898,Total_costs,49270.5
130,1253.2584283351898,MH_Cost,43200.0
131,1253.2584283351898,Repair_Cost,6070.5
132,1263.0454671382904,Total_costs,49246.5
133,1263.0454671382904,MH_Cost,43200.0
134,1263.0454671382904,Repair_Cost,6046.5
135,1265.3735349178314,Total_costs,49242.0
136,1265.3735349178314,MH_Cost,43200.0
137,1265.3735349178314,Repair_Cost,6042.0
138,1373.3577177524567,Total_costs,49113.0
139,1373.3577177524567,MH_Cost,43200.0
140,1373.3577177524567,Repair_Cost,5913.0
141,1486.2740275859833,Total_costs,49089.0
142,1486.2740275859833,MH_Cost,43200.0
143,1486.2740275859833,Repair_Cost,5889.0
144,1559.6349539756775,Total_costs,49086.0
145,1559.6349539756775,MH_Cost,43200.0
146,1559.6349539756775,Repair_Cost,5886.0
147,1562.002456188202,Total_costs,49062.0
148,1562.002456188202,MH_Cost,43200.0
149,1562.002456188202,Repair_Cost,5862.0
150,1617.7356719970703,Total_costs,49023.0
151,1617.7356719970703,MH_Cost,43200.0
152,1617.7356719970703,Repair_Cost,5823.0
153,1676.0442926883698,Total_costs,48900.0
154,1676.0442926883698,MH_Cost,43200.0
155,1676.0442926883698,Repair_Cost,5700.0
156,1704.011440038681,Total_costs,48894.0
157,1704.011440038681,MH_Cost,43200.0
158,1704.011440038681,Repair_Cost,5694.0
159,1715.924843788147,Total_costs,48888.0
160,1715.924843788147,MH_Cost,43200.0
161,1715.924843788147,Repair_Cost,5688.0
162,1729.8851292133331,Total_costs,48864.0
163,1729.8851292133331,MH_Cost,43200.0
164,1729.8851292133331,Repair_Cost,5664.0
165,1758.1303288936615,Total_costs,48852.0
166,1758.1303288936615,MH_Cost,43200.0
167,1758.1303288936615,Repair_Cost,5652.0
